Title,Release Year,Locations,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,ID
Murder in the First,1995,Aquatic Park (Jefferson Street),Warner Bros. Pictures,Warner Bros. Pictures,Marc Rocco,Dan Gordon,Christian Slater,Kevin Bacon,Kristen Stewart,619
Murder in the First,1995,Alcatraz Island,Warner Bros. Pictures,Warner Bros. Pictures,Marc Rocco,Dan Gordon,Christian Slater,Kevin Bacon,Kristen Stewart,620
Murder in the First,1995,Alamo Square,Warner Bros. Pictures,Warner Bros. Pictures,Marc Rocco,Dan Gordon,Christian Slater,Kevin Bacon,Kristen Stewart,621
Murder in the First,2014,1821 Alabama St. ,Turner North Center Productions,Turner Network Television (TNT),Steven Bochco,Eric Lodal,Ian Anthony Dale,Taye Diggs,Mimi Kirkland,622
Murder in the First,2014,Hall of Justice (850 Bryant Street),Turner North Center Productions,Turner Network Television (TNT),Steven Bochco,Eric Lodal,Ian Anthony Dale,Taye Diggs,Mimi Kirkland,623
Murder in the First,2014,Cameron House 920 Sacramento St. ,Turner North Center Productions,Turner Network Television (TNT),Steven Bochco,Eric Lodal,Ian Anthony Dale,Taye Diggs,Mimi Kirkland,624
Murder in the First,2014,Naked Lunch,Turner North Center Productions,Turner Network Television (TNT),Steven Bochco,Eric Lodal,Ian Anthony Dale,Taye Diggs,Mimi Kirkland,625
Murder in the First,2014,9 Calhoun Terrace,Turner North Center Productions,Turner Network Television (TNT),Steven Bochco,Eric Lodal,Ian Anthony Dale,Taye Diggs,Mimi Kirkland,626
Murder in the First,1995,Pier 7,Warner Bros. Pictures,Warner Bros. Pictures,Marc Rocco,Dan Gordon,Christian Slater,Kevin Bacon,Fred Astaire,627
Murder in the First,2014,Washington Square on Filbert & Stockton,Turner North Center Productions,Turner Network Television (TNT),Steven Bochco,Eric Lodal,Ian Anthony Dale,Taye Diggs,Mimi Kirkland,628
My Reality,2011,500 Club (500 Guerrero),Dare TV,,Marcia Kimpton,Marcia Kimpton,Marcia Kimpton,,Michael Keaton,629
My Reality,2011,Grant Avenue & Union Street,Dare TV,,Marcia Kimpton,Marcia Kimpton,Marcia Kimpton,,Kim Novak,630
My Reality,2011,Triton Hotel (342 Grant Street),Dare TV,,Marcia Kimpton,Marcia Kimpton,Marcia Kimpton,,Kim Novak,631
My Reality,2011,Chouguet's (2500 Washington Street),Dare TV,,Marcia Kimpton,Marica Kimpton,Marcia Kimpton,,Michael Keaton,632
My Reality,2011,3122 16th Street,Dare TV,,Marcia Kimpton,Marcia Kimpton,Marcia Kimpton,,Michael Keaton,633
My Reality,2011,O'Farrell & Jones Streets,Dare TV,,Marcia Kimpton,Marcia Kimpton,Marcia Kimpton,,Kim Novak,634
Need For Speed,2014,Powell St. from Geary to Sacramento,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,635
Need For Speed,2014,Embarcadero from Broadway to Folsom,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,636
Need For Speed,2014,California St from Taylor to Powell,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,637
Need For Speed,2014,Mason St from Pine to Sacramento,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,638
Never Die Twice,2001,"Postcard Row (Alamo Square, Hayes Valley)",Scott / Kelly Films,,Sean A.F. Scott,Sean A.F. Scott & Nancy L. Kelly,Claudia Christian,,Courtney B. Vance,639
Night of Henna,2005,,Zee Films,Illuminare Entertainment,Hassan Zee,Hassan Zee,Joyce Carlin,Nancy Carlin,,640
Nina Takes a Lover,1994,,Alan Jacobs Productions,Columbia TriStar Home Video,Alan Jacobs,Alan Jacobs,Laura San Giacomo,,,641
Nine Months,1995,Chrissy Field,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Forest Whitaker,642
Nine Months,1995,The Malloch Apartment Building (1360 Montgomery Street),1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Ving Rhames,643
Nine Months,1995,Wasteland Store (1600 Haight Street),1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,,644
Nine Months,1995,Star's Café (55 Golden Gate Avenue at Van Ness),1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Ving Rhames,645
Nine Months,1995,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,646
Nine Months,1995,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,647
Nine Months,1995,Pierce Street between Pacific & Green Streets,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,648
Nine Months,1995,Montgomery & Vallejo Streets,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,649
Nine Months,1995,Marathon Plaza (303 2nd Street),1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,650
Nine Months,1995,Jones Street at Bush,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,651
Nine Months,1995,Jack Kerouac Alley between Columbus & Grant Streets,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Richard Chamberlain,652
Nine Months,1995,Belli Building (722 Montgomery Street at Washington),1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,,653
Nine Months,1995,Alamo Square,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,,654
Nine Months,1995,60 Spear Street,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,,655
Nine Months,1995,"101 Henry Adams Place, 4th Floor",1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,,656
Nine to Five,1980,Albert S. Samuels Clock (856 Market Street between Powell and Stockton),Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Colin Higgins,Colin Higgins,Jane Fonda,Lily Tomlin,,657
Nora Prentiss,1947,Belgravia Apartments (795 Sutter Street at Jones),Warner Bros. Pictures,Warner Bros. Pictures,Vincent Sherman,N. Richard Nash,Ann Sheridan,Kent Smith,,658
On the Beach,1959,,Stanley Kramer Productions,United Artists,Stanley Kramer,,Gregory Peck,Ava Gardner,Marlo Thomas,659
On the Road,2012,Filbert & Leavenworth Streets,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,660
On the Road,2012,2017 23rd Street,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,661
On the Road,2012,Sacramento & Montgomery Streets,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,662
On the Road,2012,Bay Bridge,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,663
Pacific Heights,1990,Financial District,Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,Bruce Dern,664
Pacific Heights,1990,Texas & 19th Streets (Potrero Hill),Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,,665
Pacific Heights,1990,Chinatown,Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,Paul Rodriguez,666
Pal Joey,1957,"Spreckles Mansion (2080 Washington Street, Pacific Heights)",Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,,667
Pal Joey,1957,Barbary Coast,Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,,668
Pal Joey,1957,Coit Tower,Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,,669
Panther,1995,,Gramercy Pictures,PolyGram Video,Mario Van Peebles,Mario Van Peebles,Kadeem Hardison,Bookeem Woodbine,LL Cool J,670
Parks and Recreation,2014,Larkin & Fulton,"NBC Universal Media, LLC","NBC Universal Media, LLC",Dean Holland,Greg Daniels,Amy Poehler,,,671
Parks and Recreation,2014,Fibert from Hyde to Leavenworth,"NBC Universal Media, LLC","NBC Universal Media, LLC",Dean Holland,Greg Daniels,Amy Poehler,,,672
Parks and Recreation,2014,Columbus and Green,"NBC Universal Media, LLC","NBC Universal Media, LLC",Dean Holland,Greg Daniels,Amy Poehler,,,673
Parks and Recreation,2014,Embarcadero & Market,"NBC Universal Media, LLC","NBC Universal Media, LLC",Dean Holland,Greg Daniels,Amy Poehler,,,674
Patch Adams,1998,Treasure Island,Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,,675
Patch Adams,1998,Presidio (Golden Gate National Recreation Area),Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,Spencer Tracy,676
Patch Adams,1998,Sheraton Palace Hotel (639 Market Street),Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,,677
Patty Hearst,1988,"Postcard Row (Alamo Square, Hayes Valley)",Atlantic Entertainment Group,Atlantic Releasing Corporation,Paul Schrader,Nicholas Kazan,Natasha Richardson,William Forsythe,Spencer Tracy,678
Patty Hearst,1988,Bank of America (38th Street at Balboa Street),Atlantic Entertainment Group,Atlantic Releasing Corporation,Paul Schrader,Nicholas Kazan,Natasha Richardson,William Forsythe,,679
Petulia,1968,307 Filbert Street,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,,680
Petulia,1968,"Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park",Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,,681
Petulia,1968,"Fairmont Hotel (950 Mason Street, Nob Hill)",Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Donna Reed,682
Petulia,1968,Pier 43 1/2,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,,683
Petulia,1968,Cala Foods (California Street and Hyde),Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,,684
Petulia,1968,2417 Franklin Street,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,,685
Petulia,1968,"Fort Point (Presidio, Golden Gate National Recreation Area)",Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,,686
Phenomenon,1996,Treasure Island,Touchstone Pictures,Buena Vista Pictures,Jon Turteltaub,Gerald Dipego,John Travolta,Kyra Sedgwick,Lauryn Hill,687
Playing Mona Lisa,2000,Conservatory of Flowers (Golden Gate Park),The Bubble Factory,Buena Vista Pictures,Matthew Huffman,Marni Freedman,Alicia Witt,Harvey Fierstein,,688
"Play it Again, Sam",1972,15-17 Fresno Street,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,River Phoenix,689
"Play it Again, Sam",1972,Hyde Street Cable Car,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Lauryn Hill,690
"Play it Again, Sam",1972,Aquatic Park (Jefferson Street),Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,River Phoenix,691
"Play it Again, Sam",1972,Balboa at 22nd Avenue,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Lauryn Hill,692
"Play it Again, Sam",1972,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Lauryn Hill,693
"Play it Again, Sam",1972,Surf Theater (4520 Irving Street),Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Lauryn Hill,694
Pleasure of His Company,1961,Grace Cathedral Episcopal Church (1100 California Street),Perlsea Company,Parmaount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,,695
Pleasure of His Company,1961,2700 Vallejo Street (Pacific Heights),Perlsea Company,Parmaount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,,696
Point Blank,1967,Alcatraz Island,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,John Boorman,Alexander Jacobs,Lee Marvin,Angie Dickinson,,697
Point Blank,1967,"Fort Point (Presidio, Golden Gate National Recreation Area)",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,John Boorman,Alexander Jacobs,Lee Marvin,Angie Dickinson,,698
Pretty Woman,1990,,Touchstone Pictures,Buena Vista Pictures,Garry Marshall,J.F. Lawton,Richard Gere,Julia Roberts,,699
Psych-Out,1968,,Dick Clark Productions,American International Pictures (AIP),Richard Rush,Betty Tusher,Jack Nicholson,Susan Strasberg,,700
Quicksilver,1986,Pacific Stock Exchange,Columbia Pictures Corporation,Columbia Pictures,Thomas Michael Donnelly,Thomas Michael Donnelly,Kevin Bacon,Jami Gertz,,701
Quitters,2015,923 Vermont St.,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,702
Quitters,2015,Bechelli's Flower Market Café,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,703
Quitters,2015,Geary from 22nd Ave to Arguello,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,704
Quitters,2015,1536 Noe St.,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,705
Quitters,2015,24 Hill St.,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,706
Quitters,2015,21st St & Sanchez,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,707
Quitters,2015,4015 21st St,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,708
Quitters,2015,Tank Hill Park,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,709
Quitters,2015,Clement St. from 6th to 7th Ave. ,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,710
Quitters,2015,Wine Impression,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,711
Quitters,2015,Clement St. from 5th and 7th Ave. ,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,712
Quitters,2015,Claire Lilienthal Elementary School,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,713
Quitters,2015,Yerba Buena Gardens,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,714
Quitters,2015,Tonga Room,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,715
Quitters,2015,Cal-Mart Supermarket,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,716
Quitters,2015,McLaren Lodge,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,717
Raising Cain,1992,,Pacific Western,Universal Pictures,Brian DePalma,Brian DePalma,John Lithgow,,,718
Red Diaper Baby,2004,"Magic Theater (Fort Mason, Golden Gate National Recreation Area)",Hello Hooker Productions,Sundance Channel,Doug Pray,Josh Kornbluth,Josh Kornbluth,,,719
Red Widow,2013,Vallejo Street Garage,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,720
Red Widow,2013,York & 24th St.,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,721
Red Widow,2013,2nd St & Howard,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,722
Red Widow,2013,Montgomery & Market Streets,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,723
Red Widow,2013,Broadway & Taylor,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,724
Red Widow,2013,Mason & Sacramento St,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,725
Red Widow,2013,Geary & 27th Ave,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,726
Red Widow,2013,Geary & 20th Ave,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,727
Red Widow,2013,Pioneer Park at Coit Tower,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,728
Red Widow,2013,California & Davis St,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,729
Red Widow,2013,Golden Gate Ave & Jones,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,730
Rent,2005,Treasure Island,Rent Productions LLC,Columbia Pictures,Chris Columbus,Stephen Chbosky,Anthony Rapp,Rosario Dawson,,731
Rollerball,2002,,Atlas Entertainment,MGM Home Entertainment,John McTiernan,William Harrison,Chris Klein,Jean Reno,,732
Romeo Must Die,2000,Chinatown,Silver Pictures,Warner Bros. Pictures,Andrzej Bartkowiak,Mitchell Kapner,Jet Li,Aaliyah,,733
Romeo Must Die,2000,Embarcadero Street,Silver Pictures,Warner Bros. Pictures,Andrzej Bartkowiak,Mitchell Kapner,Jet Li,Aaliyah,,734
San Andreas,2015,2nd St. at Townsend St.,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,735
San Andreas,2015,Jefferson St. at Powell St.,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,736
San Andreas,2015,Grant St. at Bush St.,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,737
San Andreas,2015,Vallejo Garage Roof (Vallejo at Powell),"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,738
San Andreas,2015,Clay St. at Taylor,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,739
San Andreas,2015,Bay St. at Polk,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,740
San Andreas,2015,Intersection of Lombard and Hyde,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,741
San Andreas,2015,Mission between 3rd and 4th St.,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,742
San Andreas,2015,555 California,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,743
San Andreas,2015,Broadway and Kearney,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,744
San Andreas,2015,AT&T Stadium,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,745
San Andreas,2015,AT&T Stadium,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,746
San Andreas,2015,Grant between Bush and Market,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,747
San Andreas,2015,Coit Tower,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,748
San Andreas,2015,TransAmerica Pyramid (600 Montgomery Street),"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,749
San Andreas,2015,Washington Square,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,750
San Andreas,2015,Hyde St. at Greenwich and Hyde St. at Lombard,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,751
San Andreas,2015,"Stage Work, 47 Julian St.","Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,752
San Andreas,2015,"Asia Star Fantasy, 1126 Grant Ave.","Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,753
San Andreas,2015,Pier 43,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,754
San Andreas,2015,Battery Spencer,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,755
San Andreas,2015,Water work in SF Bay,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,756
San Andreas,2015,"Vallejo St. Garage, 766 Vallejo St.","Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,757
San Andreas,2015,Fort Baker,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb ,Dwayne Johnson,,,758
San Francisco,1936,The Barbary Coast,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable,Jeanette MacDonald,Samuel L. Jackson,759
San Francisco,1936,City Hall,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable,Jeanette MacDonald,,760
Sausalito,2000,The Castro,B.O.B and Partners,,Andrew Lau,,Maggie Cheung,Leon Lai,,761
Sense8,2015,"""Metzger's Apt"" 151 Alice B. Toklas Pl.","Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,762
Sense8,2015,Van Ness and 12th St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,763
Sense8,2015,Palace of Fine Arts: 3306 Lyon St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,764
Sense8,2015,"Dolores Park, 20th St. between Church & Dolores St.","Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,765
Sense8,2015,18th Street between Guerrero and Valencia Streets,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,766
Sense8,2015,"Atlas Café, 3049 20th St.","Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,767
Sense8,2015,Clairon Alley between Valencia & Mission St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,768
Sense8,2015,Harrison & 20th,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,769
Sense8,2015,Folsom,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,770
Sense8,2015,16th St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,771
Sense8,2015,S. Van Ness,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,772
Sense8,2015,22nd St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,773
Sense8,2015,Harrison,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,774
Sense8,2015,20th,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,775
Sense8,2015,Z Space Studios,"Filming of the ""Fresh Meat"" Festival","Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,776
Sense8,2015,375 Castro St. and 17th between Castro and Diamond St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,777
Sense8,2015,Corbett St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,778
Sense8,2015,Romain St.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,779
Sense8,2015,Market St. overpass,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,780
Sense8,2015,Grand View Ave.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,781
Sense8,2015,Vallejo Street Garage,dialogue scene on top of a garage roof,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,782
Sense8,2015,Laguna Honda Hospital,dialogue scene,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,783
Sense8,2015,Irving St. at 9th Ave.,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,784
Serendipity,2001,,Miramax Films,Miramax Home Entertainment,Peter Chelsom,Marc Klein,John Cusack,Kate Beckinsale,,785
Serial,1980,Ferry Building,Paramount Pictures,Paramount Pictures,Bill Persky,Rich Eustis,Martin Mull,,,786
